CustomerKey,FirstName,LastName,Gender,EmailAddress,BirthDate,AnnualIncome,EducationLevel,HomeOwner,MaritalStatus,Occupation,Prefix,TotalChildren
11000,JON,YANG,M,jon24@adventure-works.com,1966-04-08 00:00:00,90000,Bachelors,Y,M,Professional,MR.,2
11001,EUGENE,HUANG,M,eugene10@adventure-works.com,1965-05-14 00:00:00,60000,Bachelors,N,S,Professional,MR.,3
11002,RUBEN,TORRES,M,ruben35@adventure-works.com,1965-08-12 00:00:00,60000,Bachelors,Y,M,Professional,MR.,3
11003,CHRISTY,ZHU,F,christy12@adventure-works.com,1968-02-15 00:00:00,70000,Bachelors,N,S,Professional,MS.,0
11004,ELIZABETH,JOHNSON,F,elizabeth5@adventure-works.com,1968-08-08 00:00:00,80000,Bachelors,Y,S,Professional,MRS.,5
11005,JULIO,RUIZ,M,julio1@adventure-works.com,1965-08-05 00:00:00,70000,Bachelors,Y,S,Professional,MR.,0
11007,MARCO,MEHTA,M,marco14@adventure-works.com,1964-05-09 00:00:00,60000,Bachelors,Y,M,Professional,MR.,3
11008,ROBIN,VERHOFF,F,rob4@adventure-works.com,1964-07-07 00:00:00,60000,Bachelors,Y,S,Professional,MRS.,4
11009,SHANNON,CARLSON,M,shannon38@adventure-works.com,1964-04-01 00:00:00,70000,Bachelors,N,S,Professional,MR.,0
11010,JACQUELYN,SUAREZ,F,jacquelyn20@adventure-works.com,1964-02-06 00:00:00,70000,Bachelors,N,S,Professional,MS.,0
11011,CURTIS,LU,M,curtis9@adventure-works.com,1963-11-04 00:00:00,60000,Bachelors,Y,M,Professional,MR.,4
11012,LAUREN,WALKER,F,lauren41@adventure-works.com,1968-01-18 00:00:00,100000,Bachelors,Y,M,Management,MRS.,2
11013,IAN,JENKINS,M,ian47@adventure-works.com,1968-08-06 00:00:00,100000,Bachelors,Y,M,Management,MR.,2
11014,SYDNEY,BENNETT,F,sydney23@adventure-works.com,1968-05-09 00:00:00,100000,Bachelors,N,S,Management,MRS.,3
11015,CHLOE,YOUNG,F,chloe23@adventure-works.com,1979-02-27 00:00:00,30000,Partial College,N,S,Skilled Manual,MS.,0
11016,WYATT,HILL,M,wyatt32@adventure-works.com,1979-04-28 00:00:00,30000,Partial College,Y,M,Skilled Manual,MR.,0
11017,SHANNON,WANG,F,shannon1@adventure-works.com,1944-06-26 00:00:00,20000,High School,Y,S,Skilled Manual,MRS.,4
11018,CLARENCE,RAI,M,clarence32@adventure-works.com,1944-10-09 00:00:00,30000,Partial College,Y,S,Clerical,MR.,2
11019,LUKE,LAL,M,luke18@adventure-works.com,1978-03-07 00:00:00,40000,High School,N,S,Skilled Manual,MR.,0
11020,JORDAN,KING,M,jordan73@adventure-works.com,1978-09-20 00:00:00,40000,High School,N,S,Skilled Manual,MR.,0
11021,DESTINY,WILSON,F,destiny7@adventure-works.com,1978-09-03 00:00:00,40000,Partial College,N,S,Skilled Manual,MS.,0
11022,ETHAN,ZHANG,M,ethan20@adventure-works.com,1978-10-12 00:00:00,40000,Partial College,Y,M,Skilled Manual,MR.,0
11023,SETH,EDWARDS,M,seth46@adventure-works.com,1978-10-11 00:00:00,40000,Partial College,Y,M,Skilled Manual,MR.,0
11024,RUSSELL,XIE,M,russell7@adventure-works.com,1978-09-17 00:00:00,60000,Partial College,Y,M,Skilled Manual,MR.,0
11025,ALEJANDRO,BECK,NA,alejandro45@adventure-works.com,1945-12-23 00:00:00,10000,Partial High School,Y,M,Clerical,"",2
11026,HAROLD,SAI,M,harold3@adventure-works.com,1946-04-03 00:00:00,30000,Partial College,N,S,Clerical,MR.,2
11027,JESSIE,ZHAO,M,jessie16@adventure-works.com,1946-12-07 00:00:00,30000,Partial College,Y,M,Clerical,MR.,2
11028,JILL,JIMENEZ,F,jill13@adventure-works.com,1946-04-11 00:00:00,30000,Partial College,Y,M,Clerical,MRS.,2
11029,JIMMY,MORENO,M,jimmy9@adventure-works.com,1946-12-21 00:00:00,30000,Partial College,Y,M,Clerical,MR.,2
11030,BETHANY,YUAN,F,bethany10@adventure-works.com,1947-02-22 00:00:00,10000,Partial High School,Y,M,Clerical,MRS.,2
11031,THERESA,RAMOS,F,theresa13@adventure-works.com,1947-08-22 00:00:00,20000,High School,Y,M,Skilled Manual,MRS.,4
11032,DENISE,STONE,F,denise10@adventure-works.com,1947-06-11 00:00:00,20000,High School,Y,M,Skilled Manual,MRS.,4
11033,JAIME,NATH,M,jaime41@adventure-works.com,1947-09-23 00:00:00,20000,High School,Y,M,Skilled Manual,MR.,4
11034,EBONY,GONZALEZ,F,ebony19@adventure-works.com,1947-06-19 00:00:00,20000,High School,Y,M,Skilled Manual,MRS.,4
11035,WENDY,DOMINGUEZ,NA,wendy12@adventure-works.com,1948-02-24 00:00:00,10000,Partial High School,Y,M,Clerical,"",2
11036,JENNIFER,RUSSELL,F,jennifer93@adventure-works.com,1978-12-18 00:00:00,60000,Partial College,Y,M,Skilled Manual,MS.,0
11037,CHLOE,GARCIA,F,chloe27@adventure-works.com,1977-11-27 00:00:00,40000,Partial High School,N,S,Clerical,MS.,0
11038,DIANA,HERNANDEZ,F,diana2@adventure-works.com,1948-03-23 00:00:00,10000,Partial High School,Y,M,Clerical,MRS.,2
11039,MARC,MARTIN,M,marc3@adventure-works.com,1948-12-17 00:00:00,30000,Partial College,Y,M,Clerical,MR.,3
11040,JESSE,MURPHY,M,jesse15@adventure-works.com,1977-08-01 00:00:00,30000,Partial College,Y,M,Skilled Manual,MR.,0
11041,AMANDA,CARTER,F,amanda53@adventure-works.com,1977-10-16 00:00:00,60000,Partial College,Y,M,Skilled Manual,MS.,0
11042,MEGAN,SANCHEZ,F,megan28@adventure-works.com,1977-06-13 00:00:00,70000,Partial College,Y,M,Skilled Manual,MS.,0
11043,NATHAN,SIMMONS,M,nathan11@adventure-works.com,1976-02-24 00:00:00,60000,Partial College,Y,M,Skilled Manual,MR.,0
